cond,seed,step,kl_logged,genuine_correct,intermediate,leakage,format_valid
MAIN,42,105,4.797366818820592e-05,0.9047619047619048,0.9047619047619048,0.0,1.0
MAIN,42,110,4.8648933898221e-05,0.9523809523809523,0.9523809523809523,0.0,1.0
MAIN,42,115,5.145219211044605e-05,0.9047619047619048,0.9047619047619048,0.0,1.0
MAIN,42,120,4.6605037823610473e-05,0.9047619047619048,0.9047619047619048,0.0,1.0
MAIN,42,125,5.144279566593468e-05,0.9047619047619048,0.9047619047619048,0.0,1.0
MAIN,42,130,5.071320356364595e-05,0.8571428571428571,0.8571428571428571,0.0,1.0
MAIN,42,135,5.371497172745876e-05,0.8571428571428571,0.8571428571428571,0.0,1.0
MAIN,42,140,4.9354301154380664e-05,0.8571428571428571,0.8571428571428571,0.0,1.0
MAIN,42,145,5.3058628509461414e-05,1.0,1.0,0.0,1.0
MAIN,42,150,4.72580877612927e-05,0.9047619047619048,0.9047619047619048,0.0,1.0
MAIN,43,5,1.5855650417506695e-05,1.0,1.0,0.0,1.0
MAIN,43,10,0.0001316208072239533,1.0,1.0,0.0,1.0
MAIN,43,15,5.832696751895128e-05,1.0,1.0,0.0,1.0
MAIN,43,20,5.768444907516823e-05,1.0,1.0,0.0,1.0
MAIN,43,25,4.389984314911999e-05,0.9523809523809523,0.9523809523809523,0.0,1.0
MAIN,43,30,3.7008609069744125e-05,0.9523809523809523,0.9523809523809523,0.0,1.0
MAIN,43,35,5.310965525495703e-05,0.8571428571428571,0.8571428571428571,0.0,1.0
MAIN,43,40,5.130883801029995e-05,0.9047619047619048,0.9047619047619048,0.0,1.0
MAIN,43,45,4.5115608372725546e-05,0.9047619047619048,0.9047619047619048,0.0,1.0
MAIN,43,50,4.496839346757042e-05,1.0,1.0,0.0,1.0
MAIN,43,55,5.358968519431073e-05,0.9523809523809523,0.9523809523809523,0.0,1.0
MAIN,43,60,5.421147488959832e-05,0.9523809523809523,0.9523809523809523,0.0,1.0
MAIN,43,65,4.5771183067699894e-05,1.0,1.0,0.0,1.0
MAIN,43,70,4.452047141967341e-05,1.0,1.0,0.0,1.0
MAIN,43,75,5.3481528084375896e-05,1.0,1.0,0.0,1.0
MAIN,43,80,4.542235728877131e-05,1.0,1.0,0.0,1.0
MAIN,43,85,4.57320948044071e-05,1.0,1.0,0.0,1.0
MAIN,43,90,5.218705973675242e-05,1.0,1.0,0.0,1.0
MAIN,43,95,5.208866605244111e-05,1.0,1.0,0.0,1.0
MAIN,43,100,5.0063151775248116e-05,1.0,1.0,0.0,1.0
MAIN,43,105,5.1861756219295785e-05,1.0,1.0,0.0,1.0
MAIN,43,110,5.084193298898754e-05,1.0,1.0,0.0,1.0
MAIN,43,115,5.050003619544441e-05,1.0,1.0,0.0,1.0
MAIN,43,120,3.478016151348129e-05,1.0,1.0,0.0,1.0
MAIN,43,125,4.468165752768982e-05,0.9523809523809523,0.9523809523809523,0.0,1.0
MAIN,43,130,4.9361586661689216e-05,1.0,1.0,0.0,1.0
MAIN,43,135,5.0549291700008325e-05,0.9523809523809523,0.9523809523809523,0.0,1.0
MAIN,43,140,4.800305759999901e-05,0.9523809523809523,0.9523809523809523,0.0,1.0
MAIN,43,145,4.5559774662251584e-05,1.0,1.0,0.0,1.0
MAIN,43,150,4.6386684971366776e-05,1.0,1.0,0.0,1.0
MAIN,44,5,0.00013240606403996935,1.0,1.0,0.0,1.0
MAIN,44,10,0.00013662341916642617,0.9523809523809523,0.9523809523809523,0.0,1.0
MAIN,44,15,9.648365630710032e-05,0.9047619047619048,0.9047619047619048,0.0,1.0
MAIN,44,20,0.00032882527830224717,1.0,1.0,0.0,1.0
MAIN,44,25,7.733782058494398e-05,0.9523809523809523,0.9523809523809523,0.0,1.0
MAIN,44,30,6.898462834215024e-05,0.9523809523809523,0.9523809523809523,0.0,1.0
MAIN,44,35,5.137461994308978e-05,0.9047619047619048,0.9047619047619048,0.0,1.0
MAIN,44,40,5.618835712084547e-05,1.0,1.0,0.0,1.0
MAIN,44,45,7.938938688312192e-05,0.9047619047619048,0.9047619047619048,0.0,1.0
MAIN,44,50,6.316185317700729e-05,0.8095238095238095,0.8095238095238095,0.0,1.0
MAIN,44,55,7.184643436630722e-05,0.6666666666666666,0.6666666666666666,0.0,1.0
MAIN,44,60,6.19267320871586e-05,0.6666666666666666,0.6666666666666666,0.0,1.0
MAIN,44,65,4.686650572693907e-05,0.7619047619047619,0.7619047619047619,0.0,1.0
MAIN,44,70,7.139340596040711e-05,0.8571428571428571,0.8571428571428571,0.0,1.0
MAIN,44,75,0.0001529557030153228,0.8571428571428571,0.8571428571428571,0.0,1.0
MAIN,44,80,6.721707723045256e-05,0.8095238095238095,0.8095238095238095,0.0,1.0
MAIN,44,85,7.998210821824614e-05,0.8571428571428571,0.8571428571428571,0.0,1.0
MAIN,44,90,8.005196650628932e-05,0.7619047619047619,0.7619047619047619,0.0,1.0
MAIN,44,95,0.00017393255620845594,0.8571428571428571,0.8571428571428571,0.0,1.0
MAIN,44,100,7.18861283530714e-05,0.8095238095238095,0.8095238095238095,0.0,1.0
MAIN,44,105,6.437796400859952e-05,0.7619047619047619,0.7619047619047619,0.0,1.0
MAIN,44,110,9.112769294006284e-05,0.9047619047619048,0.9047619047619048,0.0,1.0
MAIN,44,115,8.884509406925645e-05,0.8095238095238095,0.8095238095238095,0.0,1.0
MAIN,44,120,6.885643870191416e-05,0.9047619047619048,0.9047619047619048,0.0,1.0
MAIN,44,125,7.557584467576817e-05,0.7619047619047619,0.7619047619047619,0.0,1.0
MAIN,44,130,7.219340386654949e-05,0.8095238095238095,0.8095238095238095,0.0,1.0
MAIN,44,135,0.00011191827070433646,0.7619047619047619,0.7619047619047619,0.0,1.0
MAIN,44,140,6.941682750039035e-05,0.8095238095238095,0.8095238095238095,0.0,1.0
MAIN,44,145,7.319598353205947e-05,0.8571428571428571,0.8571428571428571,0.0,1.0
MAIN,44,150,7.247820303746266e-05,0.8095238095238095,0.8095238095238095,0.0,1.0
MAIN,45,5,0.00012355293529253686,1.0,1.0,0.0,1.0
MAIN,45,10,0.0003280990654275229,1.0,1.0,0.0,1.0
MAIN,45,15,0.0003341329866088927,1.0,1.0,0.0,1.0
MAIN,45,20,0.00047044456005096436,1.0,1.0,0.0,1.0
MAIN,45,25,0.0003485165652818978,1.0,1.0,0.0,1.0
MAIN,45,30,0.0004785516248375643,1.0,1.0,0.0,1.0
MAIN,45,35,0.00043640637886710465,1.0,1.0,0.0,1.0
MAIN,45,40,0.00047376155998790637,0.9523809523809523,0.9047619047619048,0.0,1.0
MAIN,45,45,0.0004409421562741045,1.0,0.9523809523809523,0.0,1.0
MAIN,45,50,0.00034061659971484914,1.0,0.9047619047619048,0.0,1.0
MAIN,45,55,0.00044870972124044783,1.0,1.0,0.0,1.0
MAIN,45,60,0.00046086215297691524,1.0,1.0,0.0,1.0
MAIN,45,65,0.0004202313584755757,1.0,0.9523809523809523,0.0,1.0
MAIN,45,70,0.00045613725160364993,1.0,1.0,0.0,1.0
MAIN,45,75,0.00043866639680345543,0.9523809523809523,0.9523809523809523,0.0,1.0
MAIN,45,80,0.0004972602691850625,1.0,1.0,0.0,1.0
MAIN,45,85,0.00043234042823314667,1.0,0.9523809523809523,0.0,1.0
MAIN,45,90,0.00043982862916891463,1.0,0.9523809523809523,0.0,1.0
MAIN,45,95,0.0004336796700954437,1.0,0.9523809523809523,0.0,1.0
MAIN,45,100,0.0004137724554311717,0.9523809523809523,0.8571428571428571,0.0,1.0
MAIN,45,105,0.0004189035862509627,1.0,0.9523809523809523,0.0,1.0
MAIN,45,110,0.00044236881149117835,1.0,0.9523809523809523,0.0,1.0
MAIN,45,115,0.0004592222103383392,1.0,0.9047619047619048,0.0,1.0
MAIN,45,120,0.0004220610999254859,1.0,1.0,0.0,1.0
MAIN,45,125,0.0003480954483165988,1.0,0.9523809523809523,0.0,1.0
MAIN,45,130,0.00039771708179614507,1.0,0.9047619047619048,0.0,1.0
MAIN,45,135,0.00045144934483687393,1.0,0.9523809523809523,0.0,1.0
MAIN,45,140,0.0004221521448926069,0.9523809523809523,0.9523809523809523,0.0,1.0
MAIN,45,145,0.0004420367877173703,0.9523809523809523,0.9047619047619048,0.0,1.0
MAIN,45,150,0.00038533928182005184,1.0,1.0,0.0,1.0
